Parameters:,Emissivity:,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Distance:,1.0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20.742,20.715,20.676,20.689,20.742,20.768,20.755,20.742,20.715,20.649,20.583,20.557,20.57,20.597,20.61,20.636,20.663,20.636,20.57,20.557,20.597,20.636,20.663,20.663,20.649,20.623,20.623,20.636,20.676,20.636,20.531,20.491,20.531,20.57,20.583,20.597,20.597,20.583,20.557,20.531,20.531,20.544,20.57,20.597,20.61,20.636,20.676,20.715,20.755,20.808,20.86,20.926,20.979,20.953,20.874,20.874,20.953,21.005,21.031,21.018,20.992,21.018,21.084,21.097,21.071,21.045,21.045,21.058,21.058,21.058,21.045,21.045,21.058,21.045,21.031,21.005,20.992,21.018,21.071,21.11,21.097,21.084,21.071,21.084,21.123,21.137,21.11,21.097,21.084,21.071,21.058,21.058,21.045,21.031,21.018,21.005,21.005,20.992,20.966,20.953,20.979,20.966,20.926,20.926,20.953,20.953,20.913,20.939,20.992,21.031,21.031,20.979,20.9,20.913,21.005,21.031,20.992,20.939,20.887,20.86,20.834,20.821,20.808,20.834,20.887,20.926,20.966,21.018,21.058,21.071,21.058,21.045,21.045,21.005,20.939,20.926,20.966,21.005,21.045,21.097,21.15,21.176,21.176,21.176,21.163,21.15,21.123,21.123,21.137,21.15,21.137,21.137,21.15,21.15,21.123,21.137,21.163,21.215,21.281,21.268,21.176,21.123,21.11,21.137,21.189,21.176,21.11,21.097,21.137,21.163,21.163,21.163,21.15,21.163,21.202,21.176,21.097,21.084,21.137,21.163,21.137,21.137,21.163,21.15,21.084,21.005,20.926,20.86,20.808,20.781,20.781,20.795,20.808,20.821,20.834,20.834,20.847,20.874,20.913,20.939,20.966,20.979,20.979,20.979,20.992,21.031,21.084,21.097,21.084,21.097,21.15,21.163,21.15,21.137,21.15,21.137,21.123,21.123,21.15,21.215,21.307,21.333,21.294,21.268,21.242,21.229,21.215,21.229,21.242,21.242,21.202,21.202,21.255,21.268,21.242,21.215,21.229,21.281,21.386,21.386,21.307,21.268,21.294,21.307,21.307,21.294,21.281,21.242,21.215,21.255,21.36,21.399,21.373,21.36,21.386,21.36,21.32,21.32,21.36,21.399,21.399,21.373,21.347,21.333,21.347,21.347,21.347,21.347,21.347,21.32,21.294,21.307,21.36,21.399,21.425,21.438,21.412,21.386,21.347,21.333,21.36,21.347,21.281,21.215,21.176,21.176,21.229,21.242,21.215,21.215,21.242,21.215,21.137,21.11,21.137,21.123,21.071,21.058,21.071,21.084,21.071,21.058,21.045,21.071,21.11,21.15,21.163,21.137,21.084,21.018,20.966,20.966,21.005,20.992,20.926,20.874,20.847,20.729,20.504,20.398
,20.689,20.689,20.689,20.715,20.742,20.742,20.729,20.715,20.702,20.663,20.61,20.57,20.557,20.57,20.61,20.636,20.663,20.636,20.583,20.557,20.583,20.623,20.649,20.649,20.649,20.636,20.623,20.649,20.676,20.636,20.544,20.504,20.531,20.544,20.544,20.557,20.597,20.597,20.57,20.557,20.557,20.557,20.57,20.583,20.61,20.649,20.676,20.702,20.729,20.768,20.821,20.887,20.966,20.953,20.887,20.887,20.953,21.005,21.018,21.018,21.018,21.018,21.045,21.058,21.031,21.018,21.018,21.031,21.045,21.058,21.058,21.058,21.058,21.031,20.979,20.966,20.979,21.018,21.071,21.097,21.11,21.097,21.097,21.084,21.084,21.084,21.084,21.097,21.097,21.084,21.071,21.058,21.058,21.031,20.992,20.979,20.992,20.992,20.979,20.966,20.966,20.953,20.926,20.913,20.913,20.913,20.913,20.926,20.979,21.005,21.031,20.992,20.926,20.926,20.979,21.005,20.966,20.939,20.913,20.887,20.86,20.834,20.834,20.86,20.9,20.953,20.979,21.018,21.031,21.031,21.018,21.018,21.031,21.005,20.966,20.953,20.979,21.018,21.045,21.084,21.123,21.15,21.176,21.176,21.15,21.123,21.123,21.137,21.15,21.15,21.137,21.137,21.123,21.123,21.123,21.123,21.137,21.176,21.229,21.229,21.176,21.15,21.137,21.15,21.163,21.137,21.097,21.097,21.123,21.137,21.137,21.15,21.163,21.163,21.163,21.137,21.084,21.084,21.123,21.15,21.137,21.137,21.15,21.137,21.097,21.018,20.939,20.86,20.821,20.808,20.808,20.808,20.821,20.821,20.821,20.834,20.86,20.887,20.9,20.913,20.926,20.939,20.966,20.992,21.005,21.031,21.084,21.084,21.058,21.071,21.123,21.15,21.137,21.137,21.15,21.15,21.137,21.123,21.15,21.215,21.307,21.32,21.268,21.229,21.215,21.215,21.215,21.229,21.255,21.242,21.202,21.215,21.268,21.281,21.255,21.229,21.242,21.307,21.373,21.373,21.307,21.281,21.307,21.307,21.294,21.281,21.268,21.242,21.229,21.268,21.333,21.373,21.373,21.373,21.386,21.373,21.32,21.32,21.36,21.386,21.386,21.373,21.333,21.32,21.32,21.32,21.32,21.32,21.32,21.307,21.281,21.307,21.36,21.412,21.438,21.438,21.399,21.373,21.347,21.347,21.347,21.32,21.294,21.242,21.189,21.176,21.189,21.202,21.215,21.229,21.229,21.202,21.15,21.11,21.11,21.11,21.097,21.097,21.097,21.097,21.071,21.045,21.031,21.058,21.097,21.123,21.123,21.11,21.084,21.031,20.979,20.979,20.992,20.979,20.939,20.887,20.847,20.715,20.531,20.425
,20.61,20.649,20.715,20.742,20.729,20.702,20.663,20.663,20.689,20.689,20.649,20.597,20.531,20.531,20.597,20.636,20.649,20.636,20.597,20.57,20.557,20.583,20.623,20.649,20.649,20.649,20.649,20.649,20.663,20.636,20.557,20.517,20.517,20.491,20.465,20.491,20.583,20.61,20.597,20.583,20.583,20.583,20.57,20.583,20.623,20.663,20.676,20.689,20.702,20.702,20.729,20.808,20.913,20.953,20.926,20.926,20.966,20.992,21.005,21.018,21.045,21.045,21.005,20.979,20.979,20.966,20.953,20.979,21.045,21.071,21.058,21.058,21.058,20.992,20.913,20.887,20.939,21.005,21.058,21.097,21.097,21.11,21.137,21.097,21.018,20.992,21.045,21.084,21.11,21.11,21.071,21.045,21.058,21.031,20.966,20.939,20.966,20.992,21.005,20.992,20.966,20.939,20.913,20.887,20.834,20.847,20.9,20.926,20.939,20.966,21.031,21.018,20.966,20.939,20.953,20.939,20.926,20.926,20.953,20.939,20.9,20.874,20.874,20.9,20.939,20.979,21.005,21.005,20.992,20.966,20.953,20.979,21.005,21.018,21.005,21.005,21.018,21.045,21.045,21.058,21.058,21.11,21.176,21.176,21.123,21.097,21.123,21.15,21.163,21.163,21.15,21.123,21.084,21.084,21.11,21.123,21.11,21.123,21.137,21.163,21.176,21.189,21.189,21.163,21.11,21.084,21.084,21.097,21.11,21.11,21.097,21.123,21.176,21.163,21.097,21.058,21.071,21.097,21.11,21.137,21.15,21.15,21.137,21.123,21.123,21.071,20.966,20.887,20.847,20.834,20.834,20.834,20.821,20.808,20.808,20.834,20.887,20.9,20.874,20.86,20.847,20.887,20.966,21.005,21.018,21.045,21.084,21.071,21.018,21.018,21.097,21.123,21.097,21.11,21.15,21.163,21.137,21.137,21.15,21.202,21.294,21.281,21.202,21.15,21.176,21.202,21.215,21.242,21.268,21.255,21.215,21.215,21.281,21.281,21.255,21.255,21.294,21.333,21.36,21.36,21.32,21.307,21.32,21.307,21.268,21.242,21.242,21.242,21.255,21.268,21.307,21.333,21.36,21.373,21.386,21.373,21.333,21.32,21.36,21.373,21.36,21.347,21.32,21.294,21.281,21.268,21.268,21.281,21.294,21.281,21.268,21.294,21.347,21.412,21.464,21.438,21.373,21.347,21.36,21.347,21.307,21.294,21.307,21.281,21.229,21.163,21.137,21.15,21.215,21.242,21.229,21.202,21.163,21.123,21.084,21.097,21.137,21.15,21.15,21.11,21.058,21.018,21.018,21.031,21.071,21.084,21.071,21.058,21.071,21.058,21.018,20.992,20.979,20.966,20.966,20.926,20.847,20.729,20.57,20.491
,20.583,20.636,20.715,20.742,20.715,20.676,20.663,20.649,20.649,20.649,20.636,20.597,20.531,20.517,20.557,20.597,20.61,20.61,20.597,20.583,20.583,20.597,20.623,20.649,20.676,20.676,20.663,20.663,20.676,20.649,20.597,20.557,20.531,20.504,20.478,20.491,20.557,20.583,20.583,20.583,20.583,20.57,20.557,20.57,20.623,20.663,20.663,20.689,20.702,20.715,20.715,20.768,20.874,20.939,20.939,20.953,20.979,20.992,20.992,21.018,21.058,21.045,20.992,20.953,20.966,20.953,20.939,20.966,21.031,21.071,21.071,21.058,21.031,20.979,20.9,20.874,20.913,20.979,21.031,21.058,21.071,21.084,21.11,21.084,21.018,20.992,21.031,21.071,21.084,21.084,21.058,21.045,21.045,21.018,20.966,20.953,20.966,20.992,21.018,21.005,20.979,20.953,20.939,20.9,20.847,20.847,20.9,20.939,20.939,20.966,21.018,21.018,20.966,20.926,20.9,20.9,20.9,20.913,20.953,20.939,20.9,20.887,20.9,20.926,20.953,20.979,20.979,20.979,20.953,20.953,20.953,20.979,21.031,21.058,21.045,21.031,21.045,21.058,21.084,21.071,21.058,21.071,21.137,21.137,21.071,21.058,21.11,21.137,21.163,21.163,21.15,21.123,21.071,21.058,21.084,21.11,21.123,21.11,21.11,21.123,21.176,21.202,21.202,21.176,21.123,21.097,21.097,21.11,21.123,21.123,21.11,21.123,21.176,21.163,21.084,21.058,21.11,21.123,21.123,21.123,21.15,21.15,21.11,21.11,21.137,21.097,20.992,20.913,20.874,20.847,20.847,20.834,20.808,20.808,20.821,20.847,20.887,20.887,20.86,20.834,20.847,20.913,20.992,21.031,21.031,21.045,21.071,21.058,21.005,21.005,21.058,21.071,21.058,21.071,21.123,21.15,21.15,21.15,21.163,21.202,21.229,21.215,21.15,21.123,21.15,21.176,21.202,21.229,21.242,21.242,21.215,21.215,21.255,21.255,21.229,21.255,21.307,21.333,21.32,21.32,21.32,21.333,21.333,21.294,21.242,21.215,21.229,21.242,21.255,21.268,21.281,21.32,21.36,21.373,21.347,21.333,21.32,21.333,21.333,21.32,21.307,21.294,21.281,21.268,21.255,21.255,21.255,21.268,21.281,21.281,21.294,21.32,21.36,21.412,21.464,21.451,21.386,21.347,21.36,21.347,21.294,21.281,21.294,21.281,21.229,21.176,21.15,21.163,21.215,21.242,21.215,21.189,21.163,21.123,21.097,21.11,21.15,21.163,21.15,21.11,21.058,21.045,21.045,21.058,21.058,21.045,21.031,21.045,21.071,21.071,21.045,21.018,20.979,20.966,20.966,20.939,20.887,20.781,20.676,20.623
,20.636,20.663,20.715,20.729,20.702,20.689,20.702,20.663,20.583,20.544,20.57,20.57,20.544,20.517,20.517,20.531,20.57,20.583,20.583,20.61,20.649,20.663,20.649,20.663,20.702,20.715,20.676,20.676,20.702,20.689,20.636,20.597,20.57,20.557,20.557,20.544,20.517,20.517,20.517,20.531,20.544,20.557,20.544,20.57,20.61,20.649,20.663,20.689,20.742,20.768,20.755,20.795,20.86,20.913,20.939,20.966,20.992,20.992,20.992,21.005,21.045,21.045,21.005,20.979,20.979,20.966,20.966,20.992,21.045,21.071,21.071,21.045,21.005,20.979,20.966,20.939,20.926,20.939,20.979,21.005,21.005,21.018,21.031,21.058,21.084,21.097,21.071,21.045,21.018,21.031,21.045,21.045,21.018,21.005,21.005,21.005,20.992,20.992,21.005,21.005,21.018,21.005,20.992,20.953,20.913,20.9,20.926,20.953,20.979,20.992,20.992,20.966,20.926,20.887,20.86,20.874,20.9,20.913,20.887,20.874,20.874,20.887,20.9,20.913,20.939,20.939,20.926,20.939,20.953,20.979,21.005,21.045,21.097,21.097,21.058,21.031,21.031,21.071,21.123,21.137,21.084,21.071,21.071,21.058,21.031,21.031,21.084,21.137,21.15,21.163,21.163,21.137,21.097,21.058,21.045,21.071,21.137,21.163,21.137,21.137,21.163,21.176,21.176,21.163,21.163,21.15,21.137,21.137,21.163,21.163,21.163,21.15,21.15,21.137,21.123,21.137,21.163,21.176,21.15,21.137,21.15,21.123,21.084,21.084,21.123,21.11,21.031,20.939,20.887,20.847,20.834,20.808,20.808,20.821,20.86,20.874,20.86,20.834,20.834,20.86,20.926,20.992,21.045,21.045,21.018,21.018,21.045,21.058,21.045,21.045,21.031,21.031,21.018,21.031,21.097,21.137,21.163,21.189,21.215,21.202,21.15,21.137,21.15,21.15,21.137,21.137,21.15,21.176,21.202,21.229,21.229,21.215,21.202,21.189,21.202,21.229,21.281,21.294,21.281,21.281,21.307,21.32,21.32,21.268,21.202,21.189,21.229,21.255,21.242,21.255,21.281,21.333,21.373,21.347,21.281,21.268,21.307,21.32,21.294,21.255,21.229,21.229,21.255,21.268,21.255,21.268,21.281,21.294,21.307,21.32,21.36,21.373,21.373,21.412,21.464,21.451,21.412,21.373,21.347,21.333,21.307,21.281,21.242,21.215,21.215,21.215,21.215,21.215,21.229,21.215,21.202,21.163,21.137,21.137,21.15,21.15,21.15,21.123,21.097,21.084,21.071,21.084,21.11,21.097,21.058,21.031,21.045,21.058,21.084,21.084,21.071,21.031,20.992,20.966,20.953,20.953,20.939,20.887,20.808,20.768
,20.649,20.663,20.702,20.702,20.702,20.702,20.715,20.663,20.544,20.491,20.517,20.544,20.544,20.544,20.531,20.544,20.57,20.583,20.597,20.623,20.663,20.663,20.649,20.649,20.676,20.676,20.663,20.663,20.689,20.676,20.61,20.57,20.557,20.557,20.583,20.57,20.531,20.504,20.504,20.531,20.544,20.544,20.531,20.544,20.583,20.61,20.636,20.676,20.729,20.755,20.755,20.795,20.847,20.9,20.939,20.966,20.979,20.992,20.992,21.005,21.045,21.058,21.018,20.992,20.966,20.966,20.992,21.018,21.058,21.058,21.045,21.018,21.005,20.992,20.992,20.979,20.953,20.939,20.953,20.979,21.005,21.005,20.992,21.045,21.123,21.137,21.084,21.045,21.018,21.018,21.045,21.045,21.005,21.005,21.018,21.005,20.979,20.966,20.979,20.992,21.018,21.018,20.992,20.966,20.926,20.926,20.939,20.979,21.018,21.018,20.966,20.913,20.9,20.874,20.86,20.887,20.926,20.913,20.834,20.808,20.847,20.874,20.874,20.887,20.913,20.926,20.926,20.939,20.979,21.005,21.045,21.084,21.11,21.097,21.058,21.018,21.005,21.045,21.11,21.123,21.071,21.045,21.045,21.045,21.045,21.071,21.11,21.15,21.163,21.163,21.137,21.097,21.058,21.018,20.992,21.031,21.123,21.176,21.176,21.163,21.137,21.123,21.123,21.15,21.176,21.176,21.15,21.15,21.176,21.189,21.176,21.15,21.123,21.123,21.15,21.163,21.163,21.15,21.15,21.137,21.137,21.11,21.071,21.071,21.097,21.071,21.018,20.953,20.887,20.834,20.795,20.795,20.808,20.834,20.86,20.86,20.821,20.821,20.847,20.9,20.966,21.031,21.058,21.058,21.031,21.031,21.058,21.084,21.097,21.084,21.045,21.018,21.018,21.031,21.084,21.11,21.137,21.176,21.215,21.202,21.137,21.123,21.163,21.163,21.137,21.123,21.15,21.163,21.189,21.202,21.229,21.215,21.176,21.163,21.202,21.229,21.255,21.255,21.255,21.268,21.294,21.307,21.294,21.255,21.202,21.189,21.242,21.255,21.255,21.268,21.281,21.32,21.347,21.32,21.255,21.242,21.307,21.32,21.281,21.242,21.215,21.229,21.268,21.294,21.294,21.294,21.294,21.307,21.32,21.347,21.386,21.399,21.399,21.412,21.438,21.425,21.373,21.347,21.333,21.307,21.294,21.268,21.242,21.215,21.215,21.229,21.242,21.242,21.229,21.189,21.163,21.15,21.123,21.137,21.176,21.176,21.137,21.11,21.084,21.097,21.11,21.123,21.137,21.11,21.071,21.058,21.084,21.097,21.071,21.058,21.058,21.031,21.005,20.966,20.939,20.939,20.966,20.939,20.887,20.847
,20.61,20.636,20.676,20.702,20.715,20.715,20.689,20.636,20.557,20.504,20.504,20.517,20.531,20.557,20.597,20.61,20.61,20.623,20.623,20.636,20.623,20.623,20.623,20.61,20.61,20.61,20.61,20.636,20.663,20.623,20.531,20.478,20.491,20.504,20.531,20.557,20.557,20.557,20.557,20.557,20.57,20.557,20.531,20.517,20.531,20.57,20.61,20.636,20.649,20.676,20.702,20.755,20.834,20.9,20.913,20.939,20.953,20.966,20.966,21.005,21.071,21.071,21.031,20.979,20.953,20.966,21.005,21.058,21.071,21.058,20.992,20.992,21.018,21.031,21.005,20.992,20.992,20.992,20.966,20.992,21.045,21.058,21.018,21.031,21.097,21.11,21.084,21.058,21.071,21.058,21.045,21.031,21.031,21.018,20.992,20.953,20.913,20.913,20.953,20.979,20.979,20.966,20.953,20.913,20.874,20.887,20.953,21.005,21.045,21.018,20.939,20.887,20.887,20.9,20.9,20.926,20.966,20.913,20.781,20.755,20.834,20.874,20.834,20.847,20.9,20.939,20.966,20.979,21.018,21.045,21.058,21.071,21.084,21.058,21.031,21.005,20.992,21.005,21.058,21.058,21.018,21.005,21.031,21.071,21.11,21.15,21.163,21.176,21.189,21.15,21.071,21.018,20.992,20.966,20.953,20.992,21.058,21.137,21.189,21.176,21.097,21.071,21.097,21.123,21.15,21.15,21.15,21.15,21.176,21.176,21.15,21.137,21.123,21.123,21.137,21.123,21.097,21.097,21.123,21.137,21.11,21.097,21.097,21.071,21.058,21.018,20.979,20.926,20.86,20.808,20.768,20.768,20.808,20.834,20.821,20.808,20.808,20.834,20.874,20.926,20.953,20.992,21.018,21.031,21.045,21.058,21.097,21.123,21.137,21.123,21.084,21.058,21.058,21.058,21.084,21.097,21.084,21.11,21.163,21.189,21.189,21.176,21.176,21.163,21.15,21.15,21.176,21.189,21.189,21.202,21.229,21.215,21.189,21.189,21.229,21.242,21.229,21.229,21.242,21.268,21.281,21.281,21.281,21.255,21.215,21.215,21.242,21.281,21.307,21.294,21.281,21.281,21.307,21.307,21.268,21.268,21.294,21.307,21.307,21.294,21.281,21.281,21.32,21.333,21.333,21.32,21.307,21.307,21.347,21.373,21.386,21.386,21.399,21.412,21.412,21.373,21.307,21.281,21.294,21.281,21.242,21.242,21.281,21.281,21.255,21.229,21.229,21.229,21.202,21.176,21.137,21.123,21.137,21.15,21.176,21.163,21.137,21.123,21.123,21.137,21.15,21.137,21.11,21.084,21.084,21.11,21.15,21.123,21.045,21.005,21.018,21.018,20.992,20.966,20.939,20.926,20.953,20.926,20.874,20.847
,20.597,20.623,20.649,20.702,20.742,20.742,20.689,20.636,20.597,20.557,20.531,20.517,20.544,20.583,20.636,20.663,20.663,20.649,20.649,20.649,20.636,20.623,20.623,20.597,20.583,20.583,20.597,20.623,20.623,20.583,20.504,20.465,20.465,20.504,20.544,20.57,20.583,20.583,20.57,20.57,20.583,20.57,20.544,20.531,20.531,20.557,20.61,20.636,20.623,20.636,20.689,20.755,20.834,20.874,20.887,20.913,20.926,20.939,20.926,20.966,21.031,21.058,21.018,20.979,20.966,20.979,21.031,21.071,21.097,21.071,21.031,21.031,21.045,21.045,21.005,20.992,20.992,20.979,20.966,21.005,21.084,21.097,21.045,21.031,21.058,21.084,21.084,21.097,21.11,21.084,21.058,21.031,21.031,21.018,20.992,20.953,20.9,20.9,20.966,20.979,20.953,20.926,20.926,20.9,20.874,20.9,20.953,21.005,21.031,20.992,20.9,20.86,20.874,20.9,20.926,20.953,20.966,20.9,20.781,20.742,20.821,20.847,20.847,20.86,20.913,20.966,20.979,21.018,21.045,21.071,21.084,21.071,21.058,21.045,21.018,20.992,20.992,21.005,21.031,21.045,21.031,21.018,21.031,21.058,21.11,21.137,21.137,21.15,21.163,21.137,21.058,21.005,20.992,20.966,20.953,20.979,21.031,21.11,21.176,21.176,21.123,21.084,21.071,21.097,21.123,21.15,21.176,21.176,21.189,21.176,21.137,21.123,21.137,21.137,21.123,21.11,21.084,21.097,21.137,21.15,21.11,21.097,21.11,21.084,21.045,21.005,20.992,20.939,20.86,20.795,20.755,20.755,20.795,20.795,20.781,20.781,20.808,20.847,20.887,20.913,20.926,20.953,21.005,21.031,21.031,21.058,21.084,21.123,21.137,21.123,21.084,21.071,21.071,21.071,21.097,21.097,21.097,21.11,21.15,21.189,21.215,21.215,21.176,21.163,21.176,21.189,21.202,21.202,21.189,21.202,21.215,21.215,21.189,21.215,21.255,21.255,21.215,21.215,21.255,21.268,21.255,21.268,21.281,21.268,21.242,21.229,21.255,21.307,21.347,21.333,21.281,21.255,21.268,21.268,21.268,21.268,21.255,21.281,21.32,21.333,21.307,21.333,21.373,21.386,21.36,21.32,21.307,21.32,21.36,21.386,21.373,21.386,21.412,21.412,21.399,21.347,21.268,21.255,21.281,21.281,21.242,21.255,21.307,21.32,21.268,21.242,21.229,21.215,21.202,21.163,21.137,21.123,21.15,21.163,21.15,21.137,21.123,21.137,21.137,21.15,21.163,21.137,21.084,21.071,21.11,21.15,21.163,21.123,21.045,21.005,21.005,21.018,21.005,20.992,20.953,20.939,20.939,20.913,20.874,20.847
,20.623,20.623,20.623,20.689,20.768,20.781,20.715,20.663,20.649,20.61,20.57,20.557,20.57,20.597,20.636,20.663,20.676,20.676,20.663,20.676,20.689,20.676,20.649,20.636,20.636,20.636,20.636,20.61,20.583,20.57,20.557,20.531,20.504,20.531,20.61,20.636,20.61,20.57,20.544,20.544,20.583,20.583,20.57,20.557,20.557,20.597,20.636,20.649,20.636,20.663,20.729,20.781,20.834,20.847,20.86,20.874,20.9,20.9,20.86,20.887,20.953,21.005,21.018,21.018,21.018,21.031,21.045,21.071,21.097,21.123,21.137,21.123,21.058,21.031,21.018,20.992,20.939,20.926,20.939,21.005,21.097,21.11,21.058,21.018,21.031,21.058,21.097,21.123,21.123,21.097,21.071,21.045,21.031,21.018,21.018,20.979,20.926,20.939,20.992,20.992,20.939,20.913,20.926,20.939,20.953,20.953,20.939,20.966,21.005,20.966,20.874,20.821,20.847,20.887,20.926,20.939,20.926,20.874,20.808,20.781,20.795,20.834,20.887,20.926,20.953,20.966,20.979,21.018,21.084,21.11,21.097,21.084,21.071,21.045,21.018,21.005,21.018,21.031,21.045,21.071,21.097,21.084,21.018,21.005,21.045,21.058,21.058,21.071,21.097,21.11,21.097,21.071,21.058,21.018,20.992,21.005,21.058,21.097,21.123,21.15,21.176,21.15,21.084,21.084,21.137,21.176,21.215,21.229,21.215,21.189,21.137,21.123,21.15,21.15,21.123,21.123,21.15,21.176,21.202,21.176,21.123,21.097,21.11,21.097,21.045,21.031,21.045,20.992,20.874,20.795,20.768,20.768,20.755,20.755,20.755,20.781,20.821,20.847,20.874,20.874,20.887,20.939,21.018,21.031,21.005,21.005,21.045,21.071,21.084,21.071,21.045,21.031,21.058,21.071,21.097,21.123,21.15,21.163,21.163,21.176,21.202,21.202,21.189,21.189,21.215,21.229,21.242,21.229,21.202,21.202,21.202,21.202,21.189,21.215,21.268,21.268,21.229,21.229,21.268,21.268,21.229,21.255,21.32,21.32,21.255,21.242,21.268,21.32,21.373,21.36,21.281,21.242,21.229,21.242,21.255,21.229,21.202,21.242,21.32,21.347,21.307,21.333,21.412,21.425,21.36,21.307,21.32,21.347,21.373,21.386,21.373,21.386,21.412,21.425,21.412,21.373,21.307,21.281,21.294,21.294,21.281,21.294,21.32,21.32,21.268,21.242,21.242,21.229,21.189,21.163,21.15,21.163,21.189,21.163,21.11,21.097,21.123,21.137,21.123,21.137,21.163,21.137,21.071,21.084,21.15,21.163,21.11,21.071,21.058,21.045,21.031,21.031,21.045,21.031,21.005,20.979,20.953,20.913,20.86,20.834
